iter	Passed	Remaining
0	19	6726
1	29	5119
2	42	4923
3	52	4501
4	61	4230
5	71	4071
6	80	3949
7	95	4098
8	107	4076
9	116	3977
10	126	3904
11	136	3841
12	146	3789
13	154	3717
14	164	3674
15	174	3640
16	184	3614
17	194	3587
18	203	3549
19	212	3510
20	226	3546
21	238	3549
22	247	3518
23	256	3489
24	266	3465
25	275	3435
26	284	3405
27	293	3378
28	303	3354
29	313	3342
30	323	3325
31	333	3309
32	342	3292
33	351	3271
34	361	3252
35	371	3242
36	380	3222
37	390	3209
38	400	3193
39	409	3175
40	419	3165
41	434	3183
42	445	3181
43	455	3168
44	465	3153
45	475	3140
46	485	3129
47	494	3109
48	503	3095
49	512	3076
50	522	3062
51	531	3047
52	540	3030
53	550	3016
54	559	3001
55	569	2989
56	579	2980
57	589	2968
58	599	2956
59	609	2945
60	619	2933
61	626	2911
62	641	2921
63	652	2916
64	662	2905
65	672	2894
66	682	2883
67	692	2871
68	702	2859
69	711	2847
70	722	2838
71	731	2826
72	742	2816
73	751	2804
74	761	2793
75	771	2780
76	781	2771
77	792	2761
78	802	2751
79	812	2742
80	822	2731
81	832	2719
82	844	2717
83	859	2720
84	869	2709
85	879	2699
86	888	2686
87	898	2674
88	908	2665
89	919	2654
90	928	2643
91	938	2630
92	947	2618
93	957	2606
94	966	2593
95	976	2584
96	986	2572
97	995	2559
98	1004	2548
99	1014	2535
100	1029	2538
101	1038	2526
102	1057	2535
103	1066	2523
104	1076	2511
105	1086	2500
106	1096	2489
107	1106	2478
108	1115	2466
109	1125	2455
110	1134	2442
111	1144	2432
112	1153	2420
113	1163	2407
114	1172	2396
115	1181	2383
116	1191	2372
117	1200	2360
118	1209	2348
119	1219	2337
120	1229	2326
121	1238	2314
122	1248	2304
123	1261	2298
124	1273	2292
125	1283	2281
126	1292	2269
127	1302	2258
128	1312	2249
129	1322	2238
130	1332	2227
131	1341	2216
132	1351	2204
133	1360	2192
134	1370	2181
135	1379	2170
136	1389	2159
137	1398	2148
138	1407	2137
139	1418	2127
140	1427	2116
141	1437	2105
142	1447	2095
143	1456	2083
144	1475	2085
145	1484	2074
146	1494	2063
147	1503	2052
148	1512	2040
149	1522	2030
150	1532	2019
151	1541	2008
152	1550	1996
153	1560	1986
154	1570	1975
155	1579	1963
156	1589	1953
157	1599	1943
158	1608	1932
159	1617	1921
160	1627	1910
161	1636	1899
162	1646	1888
163	1656	1878
164	1665	1867
165	1677	1858
166	1690	1852
167	1700	1842
168	1710	1832
169	1720	1821
170	1729	1810
171	1738	1799
172	1748	1788
173	1757	1777
174	1766	1766
175	1776	1755
176	1786	1746
177	1795	1735
178	1805	1724
179	1815	1714
180	1825	1704
181	1835	1694
182	1845	1683
183	1854	1673
184	1864	1662
185	1873	1652
186	1892	1649
187	1902	1639
188	1912	1628
189	1922	1618
190	1931	1608
191	1940	1597
192	1952	1587
193	1961	1577
194	1971	1566
195	1980	1556
196	1990	1545
197	1999	1534
198	2009	1524
199	2022	1517
200	2032	1506
201	2042	1496
202	2052	1486
203	2061	1475
204	2073	1466
205	2083	1456
206	2096	1448
207	2108	1439
208	2118	1429
209	2128	1418
210	2138	1408
211	2148	1398
212	2157	1387
213	2167	1377
214	2177	1367
215	2186	1356
216	2195	1345
217	2205	1335
218	2215	1325
219	2225	1315
220	2235	1304
221	2244	1294
222	2254	1283
223	2264	1273
224	2274	1263
225	2284	1253
226	2296	1244
227	2310	1236
228	2320	1225
229	2330	1215
230	2340	1205
231	2349	1194
232	2358	1184
233	2367	1173
234	2376	1163
235	2386	1152
236	2396	1142
237	2406	1132
238	2416	1122
239	2426	1112
240	2436	1101
241	2446	1091
242	2455	1081
243	2465	1071
244	2476	1061
245	2486	1051
246	2497	1041
247	2511	1032
248	2521	1022
249	2535	1014
250	2549	1005
251	2559	995
252	2569	985
253	2579	974
254	2588	964
255	2597	953
256	2607	943
257	2626	936
258	2638	927
259	2650	917
260	2660	907
261	2670	896
262	2684	888
263	2695	878
264	2712	869
265	2722	859
266	2734	850
267	2745	839
268	2755	829
269	2765	819
270	2775	809
271	2786	799
272	2796	788
273	2806	778
274	2817	768
275	2827	758
276	2837	747
277	2847	737
278	2857	727
279	2867	716
280	2877	706
281	2888	696
282	2905	687
283	2917	677
284	2926	667
285	2945	659
286	2958	649
287	2968	639
288	2978	628
289	2988	618
290	3000	608
291	3011	598
292	3021	587
293	3032	577
294	3041	567
295	3053	556
296	3062	546
297	3072	536
298	3081	525
299	3091	515
300	3101	504
301	3115	495
302	3127	485
303	3137	474
304	3147	464
305	3156	453
306	3166	443
307	3176	433
308	3186	422
309	3195	412
310	3206	402
311	3215	391
312	3225	381
313	3235	370
314	3245	360
315	3255	350
316	3266	340
317	3276	329
318	3286	319
319	3296	309
320	3306	298
321	3320	288
322	3333	278
323	3342	268
324	3352	257
325	3363	247
326	3372	237
327	3382	226
328	3392	216
329	3402	206
330	3413	195
331	3423	185
332	3433	175
333	3443	164
334	3453	154
335	3463	144
336	3473	133
337	3482	123
338	3492	113
339	3501	102
340	3511	92
341	3525	82
342	3537	72
343	3547	61
344	3557	51
345	3567	41
346	3577	30
347	3587	20
348	3597	10
349	3607	0
